Date,Time,L/S,Trade #,Valid Entry?,MAE (pts),MFE (pts),Trade Outcome,,Real $ Premium Scaling,,,Real $ Speed Scaling,,,,,Hour,Win Streak (YES),Loss Streak (YES),,,,,,,,,,,
2/17/2026,8:00:00 AM,SHORT,T1,YES,20,220,Took Profit,,,,,,,,,,8,1,0,,,,N/A,N/A,N/A,-$0.10,$0.10,,12:00:00 AM,N/A
2/17/2026,10:00:00 AM,LONG,T2,YES,-,180,Took Profit,,,,,,,,,,10,2,0,,,,,-5,5,-$0.20,$0.20,,12:15:00 AM,Same Day
2/17/2026,11:00:00 AM,SHORT,T3,YES,-,-,Took Loss,,,,,,,,,,11,0,1,,,,,-10,10,-$0.30,$0.30,,12:30:00 AM,1
2/17/2026,12:00:00 PM,LONG,T4,YES,-,260,Took Profit,,,,,,,,,,12,1,0,,,,,-15,15,-$0.40,$0.40,,12:45:00 AM,2
2/18/2026,9:00:00 AM,LONG,T1,YES,20,340,Took Profit,Recovery,,,,,,,,,9,2,0,,,,,-20,20,-$0.50,$0.50,,1:00:00 AM,3
2/18/2026,9:00:00 AM,SHORT,T2,YES,-,-,Took Loss,,,,,,,,,,9,0,1,,,,,-25,25,-$0.60,$0.60,,1:15:00 AM,4
2/18/2026,2:00:00 PM,LONG,T3,YES,40,80,Took Profit,,,,,,,,,,14,1,0,,,,,-30,30,-$0.70,$0.70,,1:30:00 AM,5
2/19/2026,9:00:00 AM,SHORT,T1,YES,-,140,Took Profit,Recovery,,,,,,,,,9,2,0,,,,,-35,35,-$0.80,$0.80,,1:45:00 AM,6
2/20/2026,9:00:00 AM,SHORT,T1,YES,-,20,Took Loss,,,,,,,,,,9,0,1,,,,,-40,40,-$0.90,$0.90,,2:00:00 AM,7
2/20/2026,10:00:00 AM,LONG,T2,YES,-,260,Took Profit,,,,,,,,,,10,1,0,,,,,-45,45,-$1.00,$1.00,,2:15:00 AM,8
2/20/2026,10:00:00 AM,SHORT,T3,YES,20,120,Took Profit,"Brick Size: 20 points.

Stop Loss: 160 points (8 bricks).

Take Profit: 40 points (2 bricks).

Ratio: 1:0.6",if recovery is missed wait for the next loss on paper/rotation then take the next recovery. same goes for missed regular trades.,,,,,,,,10,2,0,,,,,-50,50,,,,2:30:00 AM,
2/20/2026,10:00:00 AM,LONG,T4,YES,-,240,Took Profit,,,,,,,,,,10,3,0,,,,,-55,55,-$1.25,$1.25,,2:45:00 AM,9
2/20/2026,10:00:00 AM,SHORT,T5,YES,-,120,Took Profit,,,,,,,,,,10,4,0,,,,,-60,60,-$1.50,$1.50,,3:00:00 AM,10
